site,round,period,sample_id,year,barcode_id,active_flower,final_id,notes,gut_plate,subsite,lat,long,sample_point,julian_date
NR,9,5,9_NR01,2022,NR9_01_02,TAVU,B. impatiens,,bcparasite08_F10,nicomekl2,49.089725,-122.7790482,NR01,225
PM,8,4,8_PM40,2022,PM8_40_01,TRME,B. impatiens,,bcparasite01_A1,pittmeadows2,49.2568274,-122.6668088,PM40,222
SD,3,2,3_SD08,2022,SD3_08_02,RONU,B. impatiens,,bcparasite08_C8,southdelta1,49.0684202,-123.0638309,SD08,164
NR,3,2,3_NR29,2022,NR3_29_01,RUAR,B. impatiens,,bcparasite08_H5,nicomekl4,49.0749252,-122.7620714,NR29,171
SD,3,2,3_SD08,2022,SD3_08_01,RONU,B. impatiens,,bcparasite08_E9,southdelta1,49.0684202,-123.0638309,SD08,164
NR,10,5,10_NR06A,2022,NR10_06A_03,COSE,B. impatiens,,bcparasite07_C2,nicomekl1,49.0895774,-122.7639943,NR06A,231
HR,7,4,7_HR04,2022,HR7_04_02,SPDO,B. impatiens,,bcparasite01_B4,harvieroad3,49.1534069,-122.719946,HR04,214
HR,10,5,10_HR03,2022,HR10_03_01,RARA,B. impatiens,,bcparasite01_D4,harvieroad3,49.1515935,-122.7194854,HR03,232
NR,5,3,5_NR07A,2022,NR5_07A_09,VICR,B. impatiens,,bcparasite07_F2,nicomekl1,49.0896758,-122.7593916,NR07A,194
SD,3,2,3_SD08,2022,SD3_08_03,RONU,B. impatiens,,bcparasite01_E3,southdelta1,49.0684202,-123.0638309,SD08,164
SD,6,3,6_SD36,2022,SD6_36_12,VICR,B. impatiens,,bcparasite01_F3,southdelta3,49.0597409,-123.0816311,SD36,199
HR,8,4,8_HR07A,2022,HR8_07A_05,IMGL,B. impatiens,,bcparasite01_A4,harvieroad3,49.1534589,-122.7224307,HR07A,221
NR,7,4,7_NR25,2022,NR7_25_05,TAVU,B. impatiens,beetle in gut,bcparasite01_B6,nicomekl3,49.0746575,-122.7756397,NR25,213
W,9,5,9_W11,2022,W9_11_04,RUAR,B. impatiens,,bcparasite01_C6,westham3,49.085613,-123.1649155,W11,223
SD,3,2,3_SD08,2022,SD3_08_04,RONU,B. impatiens,,bcparasite01_A8,southdelta1,49.0684202,-123.0638309,SD08,164
SD,9,5,9_SD30,2022,SD9_30_13,RARA,B. impatiens,,bcparasite01_G11,southdelta4,49.0566301,-123.0652652,SD30,224
NR,3,2,3_NR01,2022,NR3_01_02,RONU,B. impatiens,,bcparasite01_H9,nicomekl2,49.089725,-122.7790482,NR01,171
ED,6,3,6_ED01,2022,ED6_01_06,TRHY,B. impatiens,,bcparasite01_D10,eastdelta3,49.0954133,-122.9487118,ED01,202
SD,9,5,9_SD35,2022,SD9_35_03,TRRE,B. impatiens,,bcparasite07_E3,southdelta2,49.0660753,-123.0832934,SD35,224
SD,10,5,10_SD24,2022,SD10_24_04,LASY,B. impatiens,,bcparasite01_E12,southdelta1,49.0659931,-123.0585976,SD24,230
ED,10,5,10_ED32,2022,ED10_32_04,TRRE,B. impatiens,,bcparasite02_A1,eastdelta4,49.0910852,-122.9303897,ED32,233
HR,9,5,9_HR23,2022,HR9_23_02,SPJA,B. impatiens,,bcparasite02_B1,harvieroad4,49.1518644,-122.70223,HR23,228
W,7,4,7_W32,2022,W7_32_01,RUAR,B. impatiens,,bcparasite02_C1,westham3,49.0861264,-123.1586962,W32,206
NR,7,4,7_NR25,2022,NR7_25_06,TAVU,B. impatiens,,bcparasite02_D1,nicomekl3,49.0746575,-122.7756397,NR25,213
W,8,4,8_W11,2022,W8_11_01,RUAR,B. impatiens,,bcparasite07_F3,westham3,49.085613,-123.1649155,W11,217
W,6,3,6_W18,2022,W6_18_01,VEVI,B. impatiens,,bcparasite02_F5,westham4,49.0821167,-123.1545951,W18,200
HR,10,5,10_HR23,2022,HR10_23_01,ECPU,B. impatiens,,bcparasite07_G3,harvieroad4,49.1518644,-122.70223,HR23,231
ED,6,3,6_ED16,2022,ED6_16_01,RUAR,B. impatiens,,bcparasite02_A4,eastdelta3,49.0908698,-122.9480405,ED16,202
ED,6,3,6_ED31,2022,ED6_31_01,HYRA,B. impatiens,,bcparasite02_B4,eastdelta4,49.091685,-122.9349074,ED31,202
NR,7,4,7_NR29,2022,NR7_29_01,VICR,B. impatiens,,bcparasite02_C5,nicomekl4,49.0749252,-122.7620714,NR29,213
ED,6,3,6_ED09,2022,ED6_09_03,TRRE,B. impatiens,,bcparasite02_H9,eastdelta2,49.1028941,-122.9571922,ED09,202
SD,9,5,9_SD35,2022,SD9_35_01,TRRE,B. impatiens,,bcparasite02_E10,southdelta2,49.0660753,-123.0832934,SD35,224
NR,3,2,3_NR29,2022,NR3_29_05,RUAR,B. impatiens,,bcparasite02_F7,nicomekl4,49.0749252,-122.7620714,NR29,171
