#OTUID	ED17_28_02	ED18_01_01	ED18_10_01	ED18_13_01	ED18_13_03	ED19_10_09	ED19_10_10	ED19_10_11	ED19_10_12	ED19_19A_01	ED19_27B_03	ED19_35_01	ED2_28_03	ED20_10_10	ED20_10_14	ED20_16A_02	ED21_06_01	ED21_10_01	ED21_15A_01	ED21_15A_02	ED21_15A_03	ED21_33_01	ED22_05_01	ED22_25A_01	ED22_35_01	ED23_15A_01	ED24_04_01	ED24_05_01	ED25_15A_02	ED27_19B_06	ED3_21A_01	ED4_10_02	ED4_10_04	ED5_14_02	ED5_25A_02	ED6_06_03	ED6_13_07	ED6_13_12	ED6_13_13	ED8_06_02	ED8_15_01	ED8_25A_02	ED9_19A_01	HR1_03_01	HR1_16_04	HR1_22_01	HR17_09_01	HR17_09_02	HR17_24_01	HR17_28_01	HR17_32_02	HR17_32_03	HR18_05A_02	HR18_07_01	HR18_09_01	HR18_09_02	HR18_11_14	HR18_18_01	HR18_18_02	HR18_24_03	HR18_27_01	HR18_27_02	HR18_32_02	HR18_32_20	HR19_04_09	HR19_04_12	HR19_05A_01	HR19_07_01	HR19_07_02	HR19_07_03	HR19_07_12	HR19_07_13	HR19_07_15	HR19_08_01	HR19_18_02	HR19_22_01	HR19_23_01	HR19_24_05	HR19_24_06	HR19_24_08	HR19_25_02	HR19_27_07	HR19_27_08	HR19_27_09	HR19_32_01	HR19_32_02	HR19_32_04	HR19_32_16	HR19_32_18	HR19_32_19	HR19_34_08	HR19_35_01	HR20_31_02	HR20_33_02	HR20_33_12	HR20_36_03	HR21_07A_01	HR21_12_04	HR21_12_06	HR21_19A_01	HR22_07_02	HR22_07_03	HR22_07_05	HR22_09_01	HR22_21_02	HR22_24_01	HR22_27_01	HR22_33_01	HR25_27_02	HR3_07_06	HR3_07_11	HR3_19A_10	HR3_19A_12	HR3_21_01	HR3_23_03	NR1_22_05	NR1_43_01	NR18_01_03	NR18_02_01	NR18_14B_01	NR18_16_04	NR18_19_01	NR18_27_02	NR18_27_03	NR18_27_04	NR18_28_01	NR18_28_02	NR18_28_03	NR18_28_04	NR18_29_02	NR18_29_03	NR18_29_04	NR18_31_02	NR18_32_01	NR18_43_02	NR18_43_03	NR18_43_04	NR18_43_05	NR18_44_01	NR18_44_02	NR19_06_04	NR19_08_01	NR19_08_02	NR19_08_03	NR19_08_04	NR19_08_06	NR19_18_01	NR19_29_02	NR2_12_01	NR2_43_04	NR20_01_03	NR20_01_10	NR20_16_06	NR20_17B_02	NR20_19_03	NR20_24_04	NR20_25_01	NR20_30A_03	NR20_44_09	NR20_44_12	NR20_44_16	NR21_07A_01	NR21_16_03	NR21_24_01	NR21_27_06	NR22_01_02	NR22_22_02	NR22_23_01	NR22_24_01	NR23_17B_01	NR23_18_01	NR3_01_01	NR3_14B_04	NR3_20_01	NR3_29_07	NR7_22_03	PM1_04A_01	PM1_15_01	PM1_15_04	PM1_16_01	PM1_16_02	PM1_19_01	PM1_19_03	PM1_19_05	PM1_22_02	PM1_27_02	PM18_70_01	PM19_40_02	PM19_41_01	PM19_49_02	PM19_49_04	PM19_69_11	PM19_71_04	PM2_52_01	PM2_52_10	PM2_52_16	PM2_53_08	PM2_54_01	PM2_54_07	PM2_56_01	PM2_56_06	PM2_60_01	PM2_65_04	PM2_70_02	PM20_40_01	PM20_52A_01	PM20_53A_02	PM20_55_01	PM20_56_01	PM20_67_03	PM20_69_01	PM20_70_01	PM20_70_03	PM21_49_02	PM21_65_03	PM21_69_02	PM21_70_03	PM21_70_06	PM22_47_01	PM22_53A_01	PM23_55_01	PM23_56_02	PM23_71_01	PM24_65_05	PM24_70_05	PM24_70_06	PM24_70_08	PM24_70_11	PM25_70_06	PM25_70_08	PM25_70_10	PM25_70_12	PM25_70_13	PM25_70_14	PM25_70_15	PM3_52_03	PM3_53_01	PM3_53_02	PM3_53_06	PM3_54_04	PM4_49_02	PM4_54A_02	PM4_62_01	PM4_65_01	PM4_65_02	PM4_71_01	PM5_65_06	PM5_70_04	PM6_70_05	PM6_70_07	PM8_49_02	PN01	PN03	PN04	SD10_08_01	SD17_39_01	SD17_40_02	SD17_40_03	SD18_35_01	SD18_35_02	SD18_40_02	SD19_03_01	SD19_03_02	SD19_22_01	SD19_24_01	SD19_35_02	SD19_39_02	SD19_39_03	SD19_39_04	SD20_03_01	SD20_08_01	SD20_24_03	SD20_24_04	SD20_39_01	SD20_39_02	SD20_39_03	SD20_39_04	SD20_39_05	SD21_35_02	SD21_39_03	SD21_39_05	SD22_19_02	SD22_33A_01	SD22_35_01	SD25_16_01	SD25_16_02	SD25_22_06	SD25_33A_01	SD27_35_01	SD4_27_05	SD4_40_05	SD6_27_01	SD7_13_02	SD7_26_02	SD7_28_03	SD7_28_04	SD7_39_12	SD8_24_01	SD8_31A_01	SD8_36_17	SD8_36_21	SD8_39_05	W1_11_01	W1_19_01	W1_29_01	W1_30_01	W10_05_03	W10_16_02	W15_18_01	W16_22_01	W17_18_01	W19_10_01	W19_17_01	W19_17_03	W19_17_04	W19_17_06	W19_19_01	W19_22A_01	W19_23A_01	W19_24_01	W19_24_02	W19_29_01	W19_29_02	W19_29_03	W19_30_01	W19_32_02	W19_32_03	W19_33_01	W19_36_01	W2_19_01	W2_28_02	W2_33_01	W20_05_03	W20_05_05	W20_05_06	W20_05_08	W20_05_11	W20_09_01	W20_09_04	W20_15_01	W20_15_02	W20_15_04	W20_17_01	W20_18_01	W20_18_02	W20_29_01	W20_29_04	W20_40_01	W21_01_03	W21_01_04	W21_05_05	W21_18_12	W21_18_14	W21_28_01	W22_01_01	W22_02_01	W22_05_06	W22_05_07	W22_16_01	W22_24_01	W22_24_02	W22_25_01	W24_24_02	W26_05_02	W5_12_02	W5_13_01	W5_18_02	W6_08_02	W6_11_03	W6_13_03	W6_24_01	W6_36_07	W6_40_02	W7_09_01	W8_18_02	W8_18_07	W8_18_09	W8_22A_01	W9_10_01	W9_12_01	W9_17_02	W9_17_03
ASV1	0	18493	12421	17037	13838	11129	7782	3850	13108	3307	15698	16816	19	15721	17004	9115	679	15242	0	1417	5918	17244	0	336	0	456	0	0	10864	4	23	10883	6895	979	2228	396	70	101	3711	0	16539	0	0	0	0	0	0	0	0	70	0	0	0	94	0	0	0	0	14	0	0	0	4	155	22318	26576	10871	14229	0	0	28913	20699	43	15943	36	23304	167	0	7083	5882	9254	23527	1417	24314	0	317	0	14655	11864	0	17991	164	0	12075	18591	18676	5447	11740	1649	14667	327	0	15370	11279	0	0	1727	21791	132	1030	1211	0	53	0	0	0	0	13924	21085	17848	11722	21659	16547	17027	19669	10023	20114	17018	21165	16473	17231	882	60	23085	0	0	11993	11	18452	19100	15526	20097	18660	23172	23852	15870	12442	18382	93	0	20930	17076	1722	13797	15127	0	0	22803	20901	20919	21830	24860	13007	0	0	13024	568	32	11550	15309	1203	0	8140	15349	6966	0	0	0	0	0	0	0	0	0	0	0	0	14839	30321	20974	81	14890	11623	0	0	0	0	0	9	0	0	24	0	0	21357	129	174	0	51	11685	17409	0	10647	0	3511	0	2950	0	13758	43	15908	0	3648	12178	3574	0	1393	1877	2	0	0	2163	697	106	0	552	7773	0	112	116	99	14963	2310	12743	16230	6206	13632	15025	2495	0	0	6740	0	0	0	176	0	18	268	0	0	15894	18871	21265	15052	315	11512	15372	568	8901	0	8945	3436	9458	7500	23	0	4035	0	0	17142	2618	0	0	0	0	0	0	68	19196	83	0	11755	0	0	0	0	0	6639	0	0	0	0	0	0	0	0	8067	0	0	0	17225	17397	13328	12871	9999	12641	20727	644	2776	1790	19914	14456	17290	779	19444	9514	116260	15562	0	0	0	16367	19228	17030	8357	18903	17897	29903	15652	16883	9857	1354	14381	1364	15702	12301	20013	60	53	18524	264	0	414	119	0	13022	0	107	11458	0	0	0	45	13952	14767	10766	16092	16507	3730	0	0	16292	9997	234	0	0	26	7022	0	0	2012
ASV2	0	2079	3375	6679	4304	4127	2834	1480	4361	825	5405	5587	0	5304	6003	2325	331	5689	28	494	336	6038	0	128	0	0	0	1359	3144	0	0	4026	2428	412	957	102	0	0	994	113	5495	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	61	6309	6980	3871	4097	1721	1058	7694	7050	0	5967	0	5597	39	1030	2074	1129	3492	466	569	341	0	137	0	5631	3825	0	6156	48	374	3515	5050	5251	1325	16431	675	3612	75	75	4105	4014	188	0	306	2606	31	422	127	0	0	0	0	0	0	7364	7390	6672	4864	6715	7038	7391	7041	3040	6179	5186	6897	4166	5163	127	29	7314	86	223	4491	0	1948	1245	5490	6884	5527	6358	6494	3821	3544	2190	42	0	166	5473	453	4646	4165	244	0	5230	1269	1278	1426	7130	4168	1286	1057	0	39	0	1644	142	100	0	2357	5828	1831	0	0	0	0	0	0	0	0	0	0	0	0	5482	2600	4264	0	6003	5155	83	0	0	0	0	0	0	0	0	0	0	7336	0	0	0	0	4379	6657	885	3020	0	717	0	414	111	5106	0	1697	0	1396	4229	88	229	245	700	0	0	0	0	129	0	0	163	2248	0	38	48	0	5302	710	4948	6481	1847	4174	4524	766	0	26	3756	0	0	0	30	0	0	0	0	0	6640	6197	5761	5916	154	4952	6488	273	2771	73	2994	1263	2719	2588	0	0	1468	0	0	6623	1291	0	0	0	0	41	27	0	5553	0	211	2539	0	0	0	0	0	1784	0	416	0	0	0	0	0	0	1883	0	0	0	6288	5429	6616	5631	3420	5382	7375	265	773	0	7461	6345	6415	215	7108	3096	31925	5260	57	0	0	6396	6210	8292	3088	9719	5433	9926	6607	6281	3766	0	6042	455	6389	5334	5745	0	0	5154	102	224	98	0	0	2153	1909	0	4257	0	0	0	0	5814	6426	4288	5871	5336	1147	89	0	4670	3588	128	83	0	0	0	387	0	733
ASV3	0	13243	152	7912	2706	5836	4272	2306	4891	0	5577	4848	0	960	7244	0	659	4286	0	899	583	8189	0	222	0	0	0	0	7808	0	0	6160	3152	660	1159	213	0	0	1249	0	3516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	84	0	0	77	234	264	4926	762	0	0	182	1492	0	4145	0	153	0	0	1256	825	5949	481	511	0	0	156	0	6104	1881	0	8807	0	0	701	2439	0	0	10890	194	1217	136	0	1032	4040	0	0	95	4912	0	0	417	0	0	0	0	0	0	10179	0	5776	5262	1013	9124	8378	2365	0	302	208	3277	4367	956	330	0	219	0	0	4332	0	8206	8801	5663	128	6996	324	306	274	534	6259	0	0	215	10003	0	7009	208	0	0	7293	10944	8321	8882	431	7080	0	0	0	0	21	7414	0	524	0	4261	6592	517	0	0	0	0	0	0	0	0	0	0	0	0	7631	354	181	0	6560	6011	0	0	0	0	0	0	0	0	0	0	0	7202	0	0	0	0	4063	8435	0	0	125	569	0	1239	0	7738	0	2197	0	1331	4853	822	0	921	1001	0	0	0	1801	168	0	0	0	1287	0	0	34	150	5185	576	6185	7510	1837	5301	9207	1463	0	0	0	8566	0	0	0	0	0	0	0	0	7235	9340	200	7645	186	5373	4783	653	1989	0	4005	1614	4786	3191	0	0	1984	0	0	9077	1827	0	0	0	9	0	0	0	5524	0	0	5051	0	0	0	0	0	2711	0	0	0	0	0	0	0	0	0	0	0	0	6420	7268	8041	6411	4452	6618	4873	516	252	3800	9618	7767	7145	327	7989	3889	10486	7606	71	0	0	9643	9220	9960	7548	8169	4594	442	8393	6240	5033	0	7885	971	8277	6597	720	0	0	7126	199	0	170	49	0	6277	0	56	7046	0	0	0	0	8066	8357	4806	4772	4811	1545	0	0	3516	5179	206	0	0	0	0	0	0	932
ASV4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	41	0	22	0	0	0	0	0	0	0	0	2	4377	0	14635	9077	14213	11509	0	0	0	0	0	0	0	0	0	178	15	0	0	79	313	0	0	2	34	1898	353	0	0	0	36	48	46	0	0	820	126	24	0	0	11	503	0	11620	645	1435	419	0	0	0	0	0	115	0	0	7	0	0	8994	97	0	135	4	0	0	0	0	785	531	0	0	606	0	528	0	203	0	488	8127	6883	0	0	0	0	0	0	0	0	53	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	164	511	0	0	0	635	6	57	740	0	237	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	334	0	0	0	16	0	18	0	24	13141	2242	0	0	8718	4493	0	7317	107	0	0	0	0	12230	0	0	0	0	11724	0	400	0	135	1489	1200	2082	1110	796	0	503	112	0	0	0	41	119	0	0	0	0	0	0	0	0	0	263	0	5282	0	83	356	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	28	44	10841	48	0	50	99	8959	2745	0	0	0	0	0	0	63	0	5	5533	0	0	0	0	0	0	0	70	2112	0	0	0	0	13	0	0	4903	0	0	56	0	0	0	0	0	0	0	0	160	0	0	0	0	13	0	0	0	0	67	30	3	22	0	14590	0	0	0	0	0	3410	9159	0	83	0	631	15858	2525	65	0	21	26	475	14956	18744	0	0	28	0	105	71	34	1246	784	35	0	55	190	172	0	4702	85	49	0
ASV5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	437	0	32	0	64	21001	0	0	0	0	0	0	0	0	0	0	0	419	0	97	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	4829	2549	0	0	0	0	0	0	0	4599	0	0	0	0	0	0	0	0	0	0	0	12	0	0	21657	0	0	0	0	0	0	0	0	618	0	0	1355	43	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	1190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19389	18783	0	0	0	0	0	0	18015	19248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	353	349	0	23	0	0	0	0	0	0	0	0	0	0	14370	0	0	0	10060	0	0	0	23333	0	4897	0	0	0	0	0	0	0	934	0	0	0	685	3555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1276	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	71	108	0	0	36	0	0	0	31	108	0	0	0	9798	0	39	0	83	0	6056	0	0	2529	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514	0	0	0	0	9441	0	0	0	110	0	0	0	0	0	0	0	0	448	14	0	0	0	444	145	0	0	1611	0	0
ASV6	399	0	16	0	32	0	0	0	0	0	0	62	1794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	17	0	0	0	0	0	23	4216	0	6494	446	1047	39	0	0	3027	8954	9098	757	33	224	128	439	0	0	0	56	0	0	0	0	0	0	39	0	0	0	0	0	0	287	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	71	0	0	0	0	0	1484	0	0	0	0	92	512	34	0	350	0	33	76	739	784	5395	10107	0	51	255	0	0	0	0	0	0	0	128	0	0	0	0	205	256	0	0	0	0	0	0	0	171	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	0	4197	0	1143	7382	7536	10285	6627	770	394	1151	141	293	222	4	0	0	0	0	0	4364	8614	8517	3293	8708	9938	4928	5618	56	1835	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5426	4395	9890	10008	8542	91	0	0	65	0	0	0	0	0	0	0	0	0	0	0	159	28	0	617	0	64	0	0	0	0	2449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	10196	2633	0	0	0	0	5838	386	81	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	52	0	0	242	0	3178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV7	0	0	515	0	0	2085	3514	1926	1194	0	46	0	0	4320	264	6794	13232	3815	18528	16821	13685	92	13513	15433	23016	12447	9	0	1492	0	34	1424	5618	5493	14094	490	2437	28	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	12377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0
ASV8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	105	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	875	0	13549	0	0	0	0	0	0	0	0	0	0	0	65	8	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	7	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1323	0	447	0	4991	344	83	2633	6960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	11	0	341	0	0	0	0	104	0	49	119	0	62	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	104	0	0	7	0	0	0	77	0	0	0	10	0	0	1307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1018	1154	0	178	0	0	0	0	988	0	0	0	0	0	0	0	7	18	0	0	0	0	0	229	0	0	0	0	0	0	0	5224	0	0	0	71	0	0	0	0	0	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	0	0	0	46	141	37	0	0	0	0	10202	22	33650	20704	29995	0	0	0	0	0	47	0	0	0	0	20947	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8043	163	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21571	43	0	27	647	32	0	5028	749	0	0
ASV9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	78	7	834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	25	0	21	8689	0	0	17563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12787	0	0	0	0	0	0	0	25	0	0	0	0	6	0	0	0	0	0	0	0	0	9	27	0	0	0	13493	0	0	0	0	11096	23064	14863	0	8675	16641	0	298	11	12841	0	0	0	0	0	0	0	0	0	4	10	8611	3667	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	70	0	0	0	0	25	0	0	0	0	0	0	0	11073	3809	0	0	0	0	0	0	0	9	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	18713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1516	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	34	0	78	0	0	0	0	4	0
ASV10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998	0	0	0	0	1571	0	20	0	11240	816	3562	0	0	0	0	0	0	17	0	0	0	201	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	181	0	3479	89	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	9059	0	0	0	0	0	0	0	0	0	8	0	0	3653	0	48	0	0	0	30679	0	0	1541	0	0	0	0	0	20	1344	0	7	3997	0	0	0	0	0	0	0	0	0	17291	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	11084	0	2058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	5	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	1738	0	0	0	0	0	0	23	6757	0	0	0	0	0	11625	0	0	0	0	0	250	0	0	0	0	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
