#OTUID	ED1_20_01	ED17_01_01	ED18_01_04	ED18_09_01	ED18_28_01	ED19_10_05	ED19_10_06	ED19_10_07	ED19_10_13	ED19_10_14	ED19_10_15	ED19_11_01	ED19_11_02	ED19_27B_02	ED20_09_01	ED20_09_02	ED20_10_05	ED20_10_06	ED20_10_07	ED20_10_08	ED20_10_09	ED20_10_11	ED20_10_16	ED20_10_17	ED20_10_18	ED20_10_19	ED20_11_04	ED20_11_05	ED20_13_02	ED20_15A_01	ED20_29_01	ED20_33_04	ED20_33_05	ED22_15A_01	ED25_32_01	ED3_25B_02	ED4_10_05	ED5_06_01	ED5_10_04	ED5_12_01	ED5_13_02	ED5_13_03	ED5_15_02	ED5_25A_01	ED5_25A_03	ED6_13_03	ED6_14_01	ED6_14_02	ED6_22A_01	ED6_22A_06	ED7_02_01	ED7_19A_14	ED7_20A_04	ED7_21A_02	ED7_24A_02	ED9_17_01	ED9_19A_05	ED9_20A_02	ED9_21A_08	ED9_29_01	HR1_16_01	HR1_29_01	HR1_29_02	HR16_34_01	HR16_36_01	HR17_32_01	HR17_32_05	HR17_32_06	HR17_32_08	HR18_11_09	HR18_18_03	HR18_21_01	HR18_23_01	HR18_23_03	HR18_23_04	HR18_24_02	HR18_32_19	HR19_04_01	HR19_04_03	HR19_04_05	HR19_04_07	HR19_04_11	HR19_07_05	HR19_07_06	HR19_07_07	HR19_07_08	HR19_07_10	HR19_07_14	HR19_07_16	HR19_09_02	HR19_09_03	HR19_09_04	HR19_16_01	HR19_16_02	HR19_18_01	HR19_21_01	HR19_23_03	HR19_23_04	HR19_23_07	HR19_24_02	HR19_24_03	HR19_24_04	HR19_25_04	HR19_25_05	HR19_25_09	HR19_26_01	HR19_27_01	HR19_27_03	HR19_27_04	HR19_27_11	HR19_27_13	HR19_27_14	HR19_31_02	HR19_31_03	HR19_32_03	HR19_32_11	HR19_32_13	HR19_33_01	HR2_18_03	HR2_18_04	HR20_07_05	HR20_26_01	HR20_33_03	HR20_33_04	HR21_12_03	HR21_27_01	HR23_12_01	HR23_16_01	HR3_03_02	HR3_04_01	HR3_07_02	HR3_07_04	HR3_07_10	HR3_32_02	HR3_32_04	HR3_32_10	HR3_32_11	HR3_32_13	HR3_32_21	HR4_05A_04	HR5_32_01	HR7_04_05	HR7_14_01	NR1_06A_01	NR1_22_01	NR1_43_04	NR1_43_07	NR1_43_09	NR1_43_12	NR1_43_16	NR1_43_18	NR16_43_02	NR17_09_01	NR17_43_02	NR18_01_01	NR19_01_01	NR19_19_01	NR19_44_12	NR2_01_02	NR2_06A_01	NR20_01_12	NR20_01_13	NR20_07A_01	NR20_08_03	NR20_08_07	NR20_15A_01	NR20_15A_02	NR20_18_01	NR20_22_01	NR20_24_02	NR20_24_05	NR20_25_02	NR20_27_01	NR20_27_03	NR20_27_04	NR20_27_08	NR20_27_10	NR20_29_08	NR20_44_07	NR20_44_08	NR20_44_14	NR20_44_18	NR20_44_19	NR20_44_20	NR21_01_03	NR21_02_03	NR21_24_02	NR21_27_01	NR21_27_02	NR21_27_04	NR21_31_01	NR21_44_01	NR22_22_03	NR22_25_05	NR22_27_01	NR22_28_01	NR22_29_01	NR22_29_02	NR22_29_03	NR3_08A_01	NR3_28_03	NR3_29_04	NR3_43_05	NR3_43_08	NR7_22_02	PM1_16_10	PM1_31_01	PM1_31_01A	PM19_43_02	PM19_67_01	PM2_43_02	PM2_48_02	PM2_49_04	PM2_51_01	PM2_51_03	PM2_51_08	PM2_51_09A	PM2_52_13	PM2_53_06	PM2_53_07	PM2_65_06	PM20_40_02	PM20_55_02	PM20_62_01	PM20_65_07	PM21_70_04	PM22_65_03	PM22_67_01	PM23_43_01	PM25_48_01	PM25_49_01	PM25_70_05	PM26_49_02	PM26_70_01	PM3_48_01	PM3_49_02	PM3_49_04	PM3_51_05	PM3_52_01	PM3_54_05	PM3_70_01	PM4_40_02	PM5_47_02	PM5_55_01	PM5_69_02	PM5_70_07	PM6_47_02	PM6_49_01	PM6_65_01	PM6_70_03	PM6_70_04	PM6_70_12	PM6_72A_02	PM7_62_02	PM7_63_01	PM7_70_01	PM9_49_01	PN06	PN07	PN08	SD17_40_01	SD18_27_01	SD18_40_01	SD2_31_01	SD2_40_01	SD2_40_08	SD20_16A_01	SD20_24_05	SD20_27_02	SD20_28_01	SD20_30_01	SD21_08_01	SD21_19_01	SD21_27_01	SD21_28_01	SD22_39_01	SD23_29_01	SD23_40_04	SD24_50_01	SD27_40_02	SD3_26_04	SD3_36_02	SD3_40_01	SD3_40_04	SD3_40_12	SD4_25_03	SD4_27_01	SD4_40_01	SD4_40_07	SD6_27_03	SD6_36_01	SD7_26_01	SD7_26_03	SD7_28_05	SD7_28_08	SD7_39_07	SD7_39_14	SD7_39_16	SD7_40_06	SD8_29_06	SD9_08_02	SD9_09_07	SD9_09_08	SD9_40_04	SD9_40_05	W10_11_01	W15_36_01	W16_05_01	W16_13_01	W17_13_01	W17_18_02	W17_19_01	W18_08_01	W18_08_05	W18_10_01	W18_10_02	W18_11_03	W18_13_01	W18_14_01	W18_16_02	W18_16_03	W18_18_02	W18_30_01	W18_34_02	W18_40_01	W19_08_04	W19_09_03	W19_09_05	W19_09_06	W19_13_01	W19_40_01	W19_40_03	W2_26_05	W20_05_05	W20_10_01	W20_18_03	W20_18_05	W20_18_06	W20_18_08	W21_15_01	W21_15_02	W21_16_03	W21_18_03	W21_18_04	W22_15_01	W23_02_01	W23_02_02	W23_18_01	W3_18_06	W3_36_01	W4_11_01	W4_30_04	W5_29_01	W7_02_01	W7_02_05	W7_08_01	W7_18_07	W7_25_02	W8_10_01	W8_10_02	W8_12_01	W8_18_04	W8_18_08	W8_25_02	W9_10_02	W9_10_03	W9_11_01	W9_17_01	W9_19_01	W9_20_01	W9_23A_02
ASV1	0	0	13835	594	0	7996	18172	9242	10232	7429	7797	11908	16624	118	21119	9138	10461	11638	15985	12569	8929	12011	11273	9727	9275	11777	15269	12839	18218	18704	13599	6660	8897	9520	0	39	8804	0	5997	22147	7680	192	15735	352	0	0	6939	0	0	0	28	0	274	5444	0	710	0	937	3037	17392	0	0	0	0	28	0	0	0	0	866	169	0	0	0	0	0	3	13586	4019	12579	0	15287	10132	10465	8028	9192	3675	13691	6479	20446	10427	18254	13499	26705	0	15360	14679	2568	2495	170	10361	7570	11119	10188	15127	269	113203	29175	12963	7698	27277	0	18475	14	8	0	3925	13761	0	5	11996	12682	14265	10682	10979	0	145	420	171	0	0	1961	7531	190	0	0	99	56	36	0	0	9764	6	10	0	24	0	80	39	0	0	109	10	0	14328	0	15870	17209	0	0	14578	0	25770	19120	12659	0	0	14748	12214	12178	17202	0	0	0	0	25470	0	0	18568	19229	18648	19824	14820	21006	13324	0	14072	0	0	0	24936	16075	14277	403	15353	14566	0	0	0	13952	0	0	38	153	241	87	530	0	280	13331	21	0	39	28	10	0	0	0	64	822	0	15633	0	6763	8653	0	959	17078	2309	8093	0	0	997	6394	11495	430	714	0	52	0	1852	10820	1715	0	0	0	151	11	437	1104	474	1743	958	25	0	2055	295	1468	671	2049	0	0	0	0	0	0	15849	0	11145	21703	16126	0	947	0	0	0	0	31	0	0	55	39	152	99	18	12	14186	6099	334	0	0	0	0	0	111	29	9	103	0	0	0	12	0	0	0	1514	0	0	1700	0	0	0	19091	19219	15078	15551	4626	11534	0	12026	23571	867	0	885	14859	144	18887	19469	6687	15257	13131	21868	0	13678	12818	150	0	13866	216	11957	19231	228	0	12596	0	41	0	0	0	1600	17988	0	16410	4325	0	18392	134	86	7081	7296	1067	0	0	44	1253	1670	31	5141	7	12	0
ASV2	0	0	276	180	34	2327	6530	4154	3775	2719	3742	4891	6873	0	7878	3113	3956	4899	5786	4473	4008	4613	3912	3310	3366	4436	5569	5354	6558	5611	5335	2565	3701	3795	0	35	3249	754	2287	0	2662	0	6030	100	36	0	3435	0	0	0	0	0	84	0	6	195	0	171	1368	8024	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	5484	1287	5403	4811	4476	3174	4594	3429	3218	1562	4365	1797	6932	4469	6841	3532	7374	0	4097	3961	1425	391	119	2932	2722	4649	4605	6696	57	2529	393	526	2402	7519	2502	4879	0	0	0	1486	5420	0	0	3834	4023	4529	3242	3595	570	54	154	35	0	260	944	2602	64	0	0	0	0	0	0	0	2700	0	0	0	0	0	0	0	51	0	0	0	0	4425	496	4493	4977	32	0	2400	0	6874	5130	3604	0	397	4091	2966	2967	6211	370	2652	2456	612	7649	180	376	5114	1291	1073	2340	939	2402	1832	0	3224	2539	1861	0	7533	1099	152	0	4060	4439	99	0	680	4229	9	612	0	73	130	74	332	0	173	5101	0	0	54	0	0	0	0	0	0	0	125	6238	80	2339	3599	277	319	6825	278	0	41	0	45	1597	3989	220	59	0	0	0	723	6187	751	224	2619	514	0	0	181	260	190	358	407	0	0	211	67	1145	0	591	0	0	0	0	0	7	4808	2781	4378	6873	6066	214	266	671	2245	44	2858	0	1998	350	0	0	29	0	0	0	5565	2914	205	145	189	0	0	0	0	0	0	40	0	0	0	0	0	0	0	399	0	0	225	49	0	0	5106	4137	5468	4955	1554	6160	0	3329	5880	386	0	305	4693	66	6192	6804	2574	6509	4360	6490	0	4899	5592	70	178	6564	82	5110	7492	42	0	5573	666	0	0	0	0	369	6894	25	6714	2135	0	5539	31	71	2783	1831	319	349	64	26	334	54	0	1470	0	0	43
ASV3	0	0	7923	289	0	1347	3541	6645	4231	2525	5255	6340	6439	35	7851	3291	2849	3687	4258	4283	3881	3157	5107	2868	4473	2638	2952	689	8576	8398	7169	3579	3892	4563	0	0	3937	0	3240	0	3374	60	4398	94	0	0	4393	0	58	16	0	0	0	4848	0	170	0	496	2072	9272	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	5099	58	6169	0	166	1275	4085	4861	1187	1708	1409	0	7103	4365	5762	132	3158	0	189	891	180	244	0	1039	912	7213	6442	9309	0	901	292	99	2487	214	0	213	0	0	0	1848	7087	0	0	2718	486	1037	969	676	0	51	92	56	0	0	873	3608	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	203	0	243	262	0	0	6439	0	474	193	1358	0	0	0	110	3002	8202	0	0	0	0	2618	0	0	928	6940	7049	4722	6212	8024	4193	0	6575	0	0	0	229	7354	0	0	5403	291	0	0	0	232	0	0	0	75	311	0	464	0	214	5768	0	9	23	0	0	0	7	0	0	0	0	6896	0	2431	5245	0	387	5466	801	0	0	22	243	2428	5154	164	199	0	0	45	737	6647	912	0	0	0	72	0	189	1023	99	1002	382	0	0	966	107	352	0	261	0	0	0	7	0	0	230	0	3895	1347	4453	0	600	0	0	0	0	0	0	0	0	0	52	0	0	0	5910	2707	116	0	0	0	17	0	85	0	0	148	0	0	0	0	0	0	0	97	0	0	186	93	0	9	738	6977	4304	4818	492	5519	0	117	166	1008	0	248	139	0	467	654	614	7492	178	759	0	6678	5462	97	0	8383	111	6321	6400	0	0	6354	0	0	47	0	0	383	9485	0	8396	1598	0	3040	39	32	2614	1388	188	0	0	0	344	0	0	0	0	0	86
ASV4	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	5302	0	0	0	0	0	0	49	57	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	15	0	0	10	0	0	0	43	0	0	0	0	15280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9642	0	0	0	18	0	0	0	0	0	0	0	0	0	11689	0	0	0	0	1415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	28	0	0	0	0	2418	0	0	0	71	0	14563	0	0	0	17660	16233	0	0	0	0	9679	16106	21789	15078	0	19275	14738	0	0	0	0	0	0	0	18182	0	13866	13162	19067	0	0	0	0	0	0	23152	20545	22353	0	0	10013	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	72	0	0	928	0	15402	0	0	15929	0	0	0	0	759	0	0	0	0	0	0	87	0	0	0	0	0	14644	15142	3708	0	0	0	0	0	0	0	0	14	0	0	0	0	0	33	0	13	0	8	0	0	15562	0	0	0	545	0	13501	16999	538	16377	0	13130	1610	0	0	0	0	0	0	0	0	0	18518	1438	10	0	0	0	0	0	0	235	0	0	0	0	20	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	885	0	0	0	0	0	1912	0	2083	0	0	114	12	0	0	97	0	0	39	0	0	0	0	0	0	368	173	0	0	0	0	0	0	0	0
ASV5	0	0	18	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	121	0	0	0	4	0	0	0	0	0	0	0	0	40	0	43	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	30	0	0	0	0	1189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	15449	0	0	0	0	0	0	0	0	7	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12231	10452	8680	4668	15690	26035	7953	0	883	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696	415	4	0	20146	650	7	0	0	10975	5292	0	0	0	17	0	13	392	44	0	23	0	0	0	0	0	94	0	17	0	0	0	39	0	124	0	0	0	12992	0	7	133	0	0	0	0	0	1279	1440	0	0	0	0	0	22	2186	0	0	4699	19450	11	0	13306	18150	0	0	0	0	0	0	0	0	0	0	0	5380	0	0	0	4	12704	16602	11434	10972	0	5671	25574	0	0	0	0	0	0	0	0	58	0	0	32	0	0	0	17	0	0	0	0	24	93	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	16	0	0	34	14548	0	0	0	7	62	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0
ASV6	9859	0	0	49	212	0	0	0	0	0	0	0	0	2628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	65	1341	0	0	0	0	0	0	7981	67	265	0	0	0	1010	0	0	3252	0	3647	2038	0	40	2513	174	0	0	12	0	0	1033	0	0	0	0	0	27	0	9	42	0	0	0	0	0	122	0	0	160	0	75	0	0	0	0	0	8	198	0	924	0	0	0	0	0	0	0	470	0	0	0	0	0	0	0	0	31	0	151	0	56	0	0	0	0	0	76	0	0	0	0	5852	235	1626	888	356	1860	1803	176	2872	9313	457	0	0	112	0	2994	6021	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	26	0	0	0	74	0	0	0	3524	121	23	1708	0	8425	1288	401	9363	6799	5795	8143	6155	14561	4830	6003	0	0	0	0	0	0	0	0	0	0	0	0	74	148	311	116	8998	8201	5181	0	0	0	1172	0	0	0	0	0	688	3625	0	0	0	0	19	37	0	0	0	0	118	0	3829	119	0	0	0	0	0	617	0	0	0	0	0	0	0	0	0	4861	1055	0	0	7	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	6536	2449	2983	7498	0	0	0	0	54	0	0	7	0	0	0	67	0	0	0	0	0	0	0	0	4375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	380	49	0	0	0	0	0	0	0	0	0	0	0	28	74	0	0	0	0	0	0	0	0
ASV7	0	0	11	0	0	0	10	0	0	0	0	0	0	0	916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15473	4541	7	25	0	62	0	17168	0	177	0	6912	0	0	8422	4476	464	0	231	0	7933	50	0	86	317	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	81	0	10	0	0	3851	7	359	0	128	40	0	0	0	9	0	17	0	0	148	0	0	267	151	15	461	504	0	0	63	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	119	0	0	4092	46	55	0	15	706	0	220	1281	52	0	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	247	16	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	417	0	0	0	0	10	17	5	0	0	0	539	83	0	100	0	104	0	0	0	196	0	0	0	9	48	14	0	569	0	0	0	116	94	26	0	274	15	0	0	2891	1764	37	690	377	20	16	7	0	641	38	0	0	0	8	0	1600	0	1139	10253	3889	63	2894	97	912	1772	290	0	0	0	0	0	0	15	0	17	0	0	100	0	0	19	0	0	40	0	0	0	0	6768	5	62	0	0	0	0	0	0	9188	0	0	222	14	0	0	0	0	7839	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1108	8	927	0	0	1835	28	396	0	0	32	9975	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	218	11753	7274	0	0	73	0	0	0	0	0	0	102	14051	9	0	1308	4146	1252	9556	0	41	344	5618	0	147	0
ASV8	14834	0	0	40	184	0	0	0	0	0	0	31	0	1539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	124	0	51	0	0	0	43	0	5738	0	148	0	0	0	616	0	14	3693	0	3919	1353	0	0	1822	137	0	0	0	0	0	523	0	0	43	0	0	15	0	0	40	0	0	0	0	0	0	0	0	235	66	75	0	0	0	6	0	0	127	12	940	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	47	17	84	0	0	0	0	0	27	0	0	0	0	7675	199	1161	474	322	1619	1748	136	1600	4133	210	0	4	86	12	2240	4179	0	0	0	0	0	0	58	0	0	0	0	0	0	0	18	0	0	0	0	0	44	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	1588	0	0	1931	26	4767	1118	350	5730	3794	3786	4921	2916	9225	5743	4651	0	0	0	0	0	0	0	0	0	10	0	0	0	0	137	70	5107	4023	2430	0	0	0	676	0	0	0	0	0	498	2227	0	0	0	0	0	63	0	0	0	0	111	0	4515	97	19	0	8	0	0	640	29	0	0	0	0	0	0	0	0	4307	737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	3096	1901	1970	6622	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3230	0	0	0	0	0	0	0	0	0	0	0	14	0	0	37	291	0	0	0	0	28	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV9	0	0	0	0	0	0	0	0	0	0	0	0	0	3796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12739	0	0	0	0	81	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	29853	9910	0	0	0	0	4218	106	25	4106	4	0	0	0	0	5	4	4047	0	0	2755	64	0	0	0	0	0	0	0	0	877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	16067	0	0	0	0	0	517	0	0	55	3522	0	0	0	0	2620	0	1116	499	64	0	0	0	20	22	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	4125	0	0	0	0	310	0	0	0	0	1639	0	0	0	0	97	161	0	0	0	0	127	0	0	0	0	66	0	0	35	0	0	0	0	0	0	0	0	0	0	2625	0	0	0	0	37	754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	94	0	0	0	0	0	58	0	6143	0	0	312	14293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22738	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	1692	0	20	0	0	0	10	0	0	0	0	0	8	43	4908	6896	0	372	0	0	85	0	165	74	0	0	53	0	0	0	0	0	0	0	0	0	0	0	488	0	772	0	0	0	0	0	0	679	0	0	0	34	0	0	0	0	5	0	0	0	11	0	136	20	0	57	49	0	15	0	0	0	0	0	120	0	123	30	0	0	0	0	0	0	0	60	0	0	0	37	8	0	0	202	0	91	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	11	0	0	0	0	0	0	0	0	0	15	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	783	243	0	0	0	0	0	4	0	42	0	0	0	0	0	27	0	119	0	0	0	0	20	0	0	0	0	0	0	0	288	0	234	0	0	13	0	0	0	0	0	0	0	0	0	0	0	273	0	63	0	0	0	0	8310	0	0	0	0	0	0	0	0	0	0	0	6	0	243	0	0	11	0	0	0	0	0	0	31	0	0	0	39	0	0	13	30	10	17645	23898	16396	35588	0	0	868	0	0	0	0	0	0	70	0	0	0	95	0	0	0	0	0	0	8	0	0	0	6	0	44	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	33	0	0	0	0	0	0	356	214	0	0	16	5443	2057	0	7974	0
