#OTUID	ED17_28_01	ED19_10_08	ED19_11_03	ED19_33_01	ED2_16_01	ED20_10_15	ED20_33_06	ED20_33_07	ED20_33_08	ED20_35_01	ED21_05_02	ED21_07_01	ED21_09_01	ED21_28A_01	ED22_12_02	ED5_10_06	ED6_01_01	ED6_02_02	ED6_09_02	ED6_10_01	ED6_13_10	ED6_13_14	ED6_13_17	ED6_13_24	ED6_15_01	ED6_19A_03	ED6_22A_02	ED6_22A_03	ED6_22A_05	ED6_28A_03	ED6_28A_08	ED6_31_07	ED7_01_05	ED7_06_04	ED7_13_04	ED7_13_07	ED7_24A_01	ED7_27A_02	ED7_29_01	ED7_31_02	ED7_32_04	ED8_01_04	ED8_13_06	ED8_17_02	ED8_19A_11	ED8_22B_01	ED8_22B_02	ED8_26A_01	ED8_28A_01	ED8_32_02	ED9_19A_07	HR1_14_02	HR1_14A_03	HR1_23_03	HR1_29_02	HR1_34_01	HR15_36_01	HR16_34_01	HR17_07A_01	HR18_01_03	HR18_23_06	HR18_24_04	HR18_32_13	HR18_32_16	HR18_32_18	HR19_04_08	HR19_04_10	HR19_07_11	HR19_23_02	HR19_25_03	HR19_27_06	HR19_27_10	HR19_31_04	HR19_32_05	HR19_32_08	HR19_32_09	HR19_32_12	HR19_32_14	HR19_32_20	HR19_34_01	HR19_34_02	HR19_34_03	HR19_34_04	HR19_34_05	HR19_34_06	HR19_36_01	HR20_04_04	HR20_22_01	HR20_33_05	HR20_33_08	HR20_33_10	HR23_18_01	HR24_18_13	HR3_23_04	HR3_32_07	HR6_12C_03	HR6_23_02	HR6_24_01	HR6_24_05	HR6_28_02	HR6_28_05	HR6_36_01	HR6_36_03	HR6_36_03A	HR7_04_02	HR7_05A_01	HR7_07A_06	HR7_12C_04	HR7_23_02	HR7_28_01	HR7_28_05	HR7_31_01	HR7_36_01	HR8_07A_01	HR8_07A_02	HR8_23_01	HR8_27_01	HR8_27_04	HR8_28_09	HR8_33_01	HR8_36_02	HR8_36_07	NR1_43_05	NR14_09A_01	NR16_43_01	NR18_01_02	NR18_01_04	NR18_07A_01	NR18_16_03	NR19_08_05	NR20_01_06	NR20_01_14	NR20_02_01	NR20_02_02	NR20_08_05	NR20_19_02	NR20_19_06	NR20_24_03	NR20_24_06	NR20_25_04	NR20_29_09	NR21_19_01	NR21_29_01	NR21_44_02	NR22_22_01	NR22_29_04	NR23_22_01	NR23_25_01	NR25_29_01	NR3_16_08	NR3_24_01	NR3_29_06	NR3_32_02	NR3_43_02	NR3_43_07	NR6_01_02	NR6_08A_01	NR6_22_01	NR6_22_02	NR6_24_01	NR6_25_02	NR6_25_03	NR6_43_01	NR6_43_02	NR6_43_03	NR7_04A_03	NR7_07A_01	NR7_08A_01	NR7_08A_10	NR7_14A_02	NR7_27_02	NR7_27_03	NR7_27_06	NR7_29_05	NR7_29_06	NR8_05A_02	NR8_06_02	NR8_06A_01	NR8_09_02	NR8_09_03	NR8_10_01	NR8_10_03	NR8_19_01	NR8_20_03	PM1_15_03	PM12_52_01	PM14_54A_01	PM15_44_01	PM17_49_01	PM17_49_02	PM17_72A_01	PM18_49_01	PM19_47_01	PM19_52_01	PM19_68_01	PM19_70_01	PM19_70_02	PM19_71_01	PM19_71_03	PM2_47_01	PM2_51_05	PM2_51_09	PM2_61_03	PM20_55_03	PM21_69_01	PM22_67_04	PM25_70_01	PM5_55_03	PM5_65_04	PM5_70_01	PM6_44_01	PM6_46_01	PM6_46_02	PM6_46_04	PM6_46_05	PM6_47_01	PM6_54A_01	PM6_55_02	PM6_61_01	PM6_62_02	PM6_63_01	PM6_63_03	PM6_70_02	PM6_70_08	PM6_70_09	PM7_46_02	PM7_48_02	PM7_55_01	PM7_71_01	PM7_71_03	PM8_43_01	PM8_46_01	PM8_46_02	PM8_51A_01	PM8_52A_01	PM8_53_01	PM8_53_02	PM8_59_01	PM8_62_02	PM8_64_02	PM8_72A_01	PN09	PN10	PN11	PN12	SD10_13_01	SD10_39_02	SD18_27_02	SD18_39_15	SD21_31A_01	SD21_39_07	SD22_03_02	SD23_50_01	SD24_27_01	SD24_39_01	SD26_40_06	SD3_39_05	SD3_40_02	SD6_03_10	SD6_24_02	SD6_26_11	SD6_26_15	SD6_36_10	SD6_36_12	SD6_37_07	SD6_37_09	SD6_37_11	SD6_40_01	SD7_03_02	SD7_24_02	SD7_26_05	SD7_28_02	SD7_33A_01	SD7_37_08	SD7_39_06	SD7_39_15	SD7_40_04	SD8_24_04	SD8_24_05	SD8_26_02	SD8_29_04	SD8_29_09	SD8_36_16	SD8_39_03	SD8_40_04	SD8_40_06	SD8_40_09	SD9_09_05	SD9_09_06	SD9_28_02	SD9_39_03	W10_05_02	W10_18_02	W10_18_03	W10_23A_01	W10_31_01	W13_18_01	W13_18_03	W13_36_01	W14_12_01	W14_20_02	W14_29_03	W14_30_01	W14_30_02	W14_32_01	W14_32_02	W15_28_01	W18_08_02	W18_08_04	W18_17_01	W18_29_04	W19_10_03	W19_13_02	W19_17_02	W19_22A_02	W19_24_01	W19_33_02	W20_09_06	W20_14_01	W20_18_04	W20_18_07	W21_01_07	W21_05_06	W21_13_02	W21_18_08	W22_05_10	W22_05_12	W22_09_01	W22_15_02	W22_17_01	W22_33_01	W23_01_01	W23_12_01	W23_18_02	W23_35_02	W26_05_03	W3_25_01	W4_21_01	W4_31_01	W4_36_02	W6_13_04	W6_17_02	W6_18_02	W6_18_03	W6_18_05	W7_08_02	W7_12_01	W7_16_01	W7_18_02	W7_24_01	W7_24_04	W7_25_01	W7_32_01	W7_35_01	W8_01_01	W8_01_03	W8_08_01	W8_09_01	W8_11_01	W8_11_02	W8_16_02	W8_17_03	W8_25_04	W8_33_01	W8_35_02	W9_01_02	W9_08_02	W9_10_04	W9_11_04	W9_12_03	W9_19_02	W9_33_01	W9_33_02	W9_36_01	W9_40_01
ASV1	0	22741	17371	16739	33	3686	20652	11510	9288	26018	2076	0	10176	13719	0	8183	8693	2043	232	89	113	5814	32	141	176	13	0	0	28	395	40	0	8874	6040	21	0	0	140	412	6304	0	0	118	179	9941	0	2249	0	0	86	1408	0	9	0	1049	0	38	0	0	14	14	30	8	39	0	36061	0	12523	2068	13910	30880	18691	21321	9	0	12	0	0	21	19940	15731	13994	24354	20514	15772	21462	22846	22403	23088	32085	21690	0	497	1025	615	172	52	0	0	0	0	29	0	0	0	0	0	21949	0	0	0	15327	4095	0	148	0	0	25	43	34	155	0	0	0	0	27150	11183	26749	14048	31177	28017	0	0	16026	23050	22259	17420	8105	17843	0	20998	22820	18697	23425	642	0	24872	0	0	5458	7550	12030	21773	100	1730	16455	0	383	0	0	1944	26269	174	9	121	0	331	17	16	0	285	0	0	22596	1120	0	493	0	0	0	15	0	2437	21	20	0	0	0	0	0	0	0	17536	17170	14234	4767	13773	13739	14629	0	26	7	0	0	0	18171	0	0	23007	4775	0	0	26	39	10	36	0	2472	0	15	86	20	1485	0	0	0	0	0	0	0	0	0	13	0	1081	27	0	0	69	0	0	0	1049	0	0	19902	1970	0	0	50	17182	0	0	0	1425	26	67	34	960	16735	0	132	6856	295	946	0	189	5465	431	44	0	0	8	0	29	0	0	0	0	0	17	9452	356	5876	64	0	24	0	0	0	0	0	14946	0	1381	4014	0	0	27	0	42	0	0	0	0	0	2253	19367	13425	11364	12009	9523	14595	21537	0	197	23416	18782	19123	12687	7479	93	1620	0	21645	164	18562	0	2990	519	13925	51	47	838	0	65	7226	3452	16225	11093	0	22310	0	11746	83	14747	9236	216	898	88	63	35	19326	1417	0	260	28649	0	15407	13866	0	36	0	0	123	40	28873	15620	40274	529	0	71	6782	58	27553
ASV2	0	7817	7469	7017	0	924	8156	4451	3907	6733	601	0	4352	5114	11	2862	3160	872	56	0	0	1576	0	0	52	0	0	0	0	100	0	0	2991	1507	0	0	14	0	173	1555	0	0	89	0	2477	0	625	0	0	0	425	0	0	111	192	0	0	0	0	0	0	0	0	0	0	11223	2846	4098	542	5431	370	5601	6494	0	0	0	0	0	0	4569	5624	4814	8120	7163	6577	6547	6479	6299	4495	1651	6505	0	0	213	169	31	42	0	43	94	0	0	380	216	697	0	0	6019	0	0	0	4385	1018	0	0	0	0	0	0	0	34	0	0	0	0	7676	5501	7473	4684	7267	2066	3040	1275	5540	5194	6253	5302	1740	4422	0	3806	6516	5041	1540	38	0	0	0	381	2162	2626	4229	7086	0	572	4335	0	59	0	798	383	8371	0	0	0	105	81	0	0	0	94	7	0	6159	335	0	113	0	0	0	0	0	533	0	0	0	0	146	0	0	0	0	7770	7168	5400	2261	6399	6337	6582	0	0	0	0	0	0	6973	882	0	8336	1266	35	25	0	0	0	0	0	0	0	0	0	0	130	0	145	0	565	0	0	0	0	0	0	0	311	0	11	0	0	0	0	0	0	0	0	5863	634	0	0	0	6352	241	1124	3362	340	0	39	0	299	6648	0	0	1042	44	219	0	0	2504	53	0	27	0	0	0	0	0	0	0	0	0	0	2492	269	1632	0	0	0	0	954	0	0	0	5424	0	584	1783	0	0	0	0	0	0	0	0	0	0	0	6737	5354	4068	5751	3958	6400	9131	0	83	6008	6748	6100	5096	3123	0	513	34	8552	84	4557	1894	0	121	4342	0	0	207	239	0	3000	888	6001	3721	134	6796	0	4867	0	5933	3177	0	601	47	0	0	5527	534	447	68	10319	105	4244	3950	0	0	0	0	0	0	9318	5404	11088	311	0	34	1944	0	8419
ASV3	0	3632	7567	6442	0	1737	8145	5800	5756	12253	1068	0	4446	6108	0	3635	4539	0	70	39	0	0	0	0	0	0	9	13	0	87	0	0	3832	162	0	55	0	136	0	498	0	0	130	0	1278	0	0	0	0	0	777	0	0	0	481	0	0	0	21	0	0	0	0	0	0	359	0	4074	143	7746	170	2642	1475	0	0	0	0	0	0	9197	5267	4023	7317	8359	6763	428	148	203	3593	664	2289	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	8	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	5886	434	4323	431	249	0	0	6800	183	262	195	3560	5499	0	4539	269	5668	10391	0	0	0	0	0	2660	2218	3635	561	0	245	153	0	82	0	0	411	1177	0	0	49	0	89	0	0	0	0	0	44	2652	0	0	97	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	10059	288	5366	1275	6142	6753	7181	0	0	0	0	0	0	6949	0	0	10939	1794	0	0	0	0	0	0	0	2126	93	0	0	0	548	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	487	0	0	458	130	0	0	0	7955	0	0	0	480	0	53	0	358	7380	0	41	1675	84	384	51	0	2825	247	0	0	0	0	0	0	0	0	0	0	14	0	0	139	2043	0	0	0	0	0	0	54	15	4016	24	720	1749	0	0	0	0	0	0	0	0	0	18	1389	3259	4458	5233	6218	4231	6315	8823	0	135	492	5017	5940	6577	4594	0	972	0	11524	52	6677	0	0	196	5411	0	0	1169	0	0	3377	170	7202	4138	0	826	0	7331	0	4155	2405	0	511	0	0	0	3291	0	0	0	7439	0	434	562	0	0	35	0	0	0	5716	5288	884	243	17	0	138	0	5335
ASV4	0	0	0	0	2	56	0	0	0	0	0	0	0	0	0	0	5	0	732	4	0	0	0	7	20	14319	0	0	0	103	9	6	200	58	0	23	34	107	32	0	0	0	33	26	5522	39	34	0	0	28	12857	0	0	0	3483	0	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	305	0	0	448	554	1560	13	8210	6137	5505	8720	17663	3203	580	14338	1276	3875	8884	9307	0	13169	19541	7677	2747	8831	16541	16726	27	15578	20254	0	0	0	0	0	0	0	0	0	0	6	12	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	240	0	0	0	27	79	0	11	0	0	0	7	59	592	7	19176	131	0	0	0	182	0	0	0	92	0	0	0	0	0	3	0	0	134	0	0	0	0	16	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	3553	0	80	8	0	50	0	0	0	0	35	139	1335	20114	21985	23440	10705	11	2516	19	196	2845	18042	20236	19	0	2	3676	239	6	11	237	12086	11847	11	0	878	2421	80	33	66	0	0	0	0	0	0	0	0	770	0	0	0	0	0	0	0	0	135	0	0	0	0	0	6	3	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	1014	7	47	0	0	0	0	0	0	0	186	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	3	0	0	0	0	0	0	0	0	0	0	413	3	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0
ASV5	0	0	0	0	0	847	0	0	0	0	0	683	0	0	10921	0	48	0	8791	11499	11467	7339	13786	5373	139	0	15652	1786	5925	98	0	0	529	0	229	13687	16247	120	711	1361	12564	43	11435	17376	0	1064	3050	0	148	8776	0	0	0	502	0	9	0	0	32	0	134	160	0	2	5	14	0	0	0	16	0	0	0	0	0	0	12	0	0	0	0	0	0	5	0	0	0	926	12	91	0	22285	7272	639	0	173	21	31	241	504	14022	0	49	4	0	0	0	0	47	0	2763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	885	0	0	0	0	0	72	0	69	277	0	4195	0	0	0	11	0	0	0	24	0	0	32	0	0	0	0	42	0	1165	0	6193	0	244	0	0	0	32	24	12067	0	0	826	0	16	0	0	21	0	0	0	0	0	0	0	54	0	0	0	967	948	0	34	36	71	0	0	202	3985	0	0	0	116	0	0	72	0	0	0	0	0	0	0	0	780	0	4660	0	0	64	270	0	0	0	0	1206	3973	12250	9395	0	5	0	10230	0	1203	0	0	0	131	0	0	758	58	34	0	0	0	0	167	0	0	0	291	10	1224	52	0	691	9	0	0	0	0	172	0	6132	0	20	948	0	0	0	1836	0	37	109	0	0	0	72	1247	51	0	0	0	16261	493	0	0	5	0	0	0	0	0	0	0	0	0	41	0	24	0	0	0	0	0	0	0	0	0	0	0	1887	39	6043	19	24	0	0	0	55	19	11907	791	107	173	0	2437	991	0	0	0	0	1029	17	0	570	0	935	44	1525	41	936	66	4486	0	9591	0	6237	0	0	0	90	4228	68	0	9550	14	0	0	45	0	0	24	33	22
ASV6	0	0	0	0	0	0	0	0	0	0	0	8041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2994	0	0	0	0	0	0	0	0	22	75	0	0	0	156	0	0	13	0	0	0	0	1033	0	0	0	0	0	0	0	0	0	0	0	0	8118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	22	93	1343	55	0	2073	762	8322	0	0	0	0	0	0	0	0	11	0	10	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	21500	21733	0	0	0	0	0	0	20602	0	0	0	0	0	19412	0	19900	2302	0	0	0	0	0	0	0	16536	0	35	10839	0	0	0	0	0	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	37	26	0	0	0	0	0	0	0	0	0	0	0	0	34208	20156	0	5646	15440	0	0	326	0	0	0	0	0	36	0	0	0	0	0	0	1401	5167	0	24608	2132	0	17	59	6	0	8	0	0	0	0	0	14	0	51	0	0	2	0	0	0	68	0	0	21451	19157	15170	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	74	1280	0	0	0	460	45	0	104	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	17361	0	0	0	0	0	0	11546	0	0	0	0	0	11341	0	146	0	0	0	0	0	0	0	0	0	0	0	1312	0	0	277	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
ASV7	0	0	0	0	0	0	0	0	0	0	0	0	0	740	0	0	4765	136	0	0	0	0	0	0	27	0	0	0	0	13060	1170	0	246	3	0	0	0	21287	0	0	7	4	0	0	0	662	5504	0	3804	0	0	0	0	0	7	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	14863	0	28996	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	619	0	0	0	0	0	12	0	0	0	23795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	0	0	0	4273	0	12	8	0	0	0	0	0	26	8628	0	12	0	0	0	0	0	0	0	0	11	0	0	0	4500	0	0	0	34	0	0	0	0	1052	0	0	2	0	0	0	27777	0	0	0	6363	3048	24025	12	24150	0	28786	0	0	0	0	0	0	7170	0	47	0	0	0	11	23707	0	1907	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	117	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	137	0
ASV8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	0	17	0	0	74	0	0	0	0	146	15840	200	155	0	0	131	17	0	0	0	12	0	0	0	30007	81	0	0	10526	584	0	63	4935	3	0	0	0	0	0	0	0	0	0	24676	730	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1663	0	131	45	0	48	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	8	9	26	0	0	0	108	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	9328	0	0	37	0	0	6	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3087	0	0	69	0	20	0	0	0	0	0	142	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	14	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	18	0	0	0	0	0	0	0	0	0	74	0	0	3	34188	978	153	25449	45	0	0	0	12	0	24265	15297	68	2060	0	0	270	0	0	0	0	0	0	0	0	0	204	0	0	29980	30	0	19	166	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	3	12867	0	20	0	0	0	0	0	813	0	1247	0	0	322	0	0	8930	0	0	67	0	0	0	0	0	0	105	0	382	14	0	29	87	130	16	0	26	0	0	0	15	72	0	0	0	0	5	0	0	0	0	0	0	26
ASV9	0	0	0	0	0	212	0	0	0	0	0	0	0	0	7438	0	0	0	2766	4083	6222	3796	4158	3357	0	0	7595	2152	4951	0	0	0	0	0	99	5892	4898	0	144	1063	6719	0	3343	5031	0	323	409	0	0	4884	0	0	0	820	53	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585	0	0	0	3839	829	790	0	119	0	0	0	308	5967	0	68	0	0	0	0	0	0	0	2520	0	0	0	0	48	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	97	0	809	4	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1778	0	0	0	0	0	58	0	2133	0	0	571	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	853	190	0	0	0	84	0	0	0	1427	66	0	12	0	0	0	0	0	0	0	0	0	0	0	0	85	0	2789	0	22	0	97	0	0	0	0	2040	8735	6793	2884	0	0	0	4444	0	0	0	0	0	0	0	0	784	0	0	0	7	0	0	66	0	0	0	143	0	445	56	58	223	0	0	0	0	0	0	0	3692	0	0	783	0	0	0	1108	0	0	0	0	0	0	0	0	0	0	0	0	5251	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	629	0	2601	0	0	0	0	0	62	0	3979	140	0	62	0	1001	542	0	0	25	0	226	0	0	318	0	616	0	419	0	222	0	3074	336	3481	0	5728	0	0	0	0	2565	0	0	6886	0	0	13	0	0	0	0	0	0
ASV10	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	7	5121	0	0	0	0	8	0	38	0	0	0	0	24	0	0	8	0	185	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	22	0	0	0	0	0	0	0	0	0	0	0	70	0	227	0	0	0	0	0	0	0	0	0	0	24	31	0	3890	0	12	9125	15	65	5545	0	0	0	812	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	804	0	0	0	0	0	0	0	0	0	0	171	0	0	53	0	44755	17815	14335	22263	0	0	0	0	0	0	0	0	0	0	4864	83	171	0	0	4955	1752	3314	0	0	0	0	16	0	45	0	0	32	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	269	0	0	0	0	92	0	88	0	24	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	4078	0	0	0	0	0	0	0	0	0	0	11	0	0	0	232	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
