row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
ED17_28_02	36392	26466	26450	26412	19866	19758	14069	0.54364240410753	28.7934001417148	38.6595955154979
ED18_01_01	46234	35078	34985	35041	34518	34478	34408	0.115881569036446	0.203028017866473	74.4214214647229
ED18_10_01	37753	23538	23409	23435	20370	20330	18092	0.196367206676484	11.0083620265617	47.9220194421635
ED18_13_01	43312	32547	32529	32527	32160	32044	31952	0.360696517412933	0.287105230308327	73.7717029922423
ED18_13_03	35889	26278	26258	26233	25555	25289	23443	1.04089219330855	7.2996164340227	65.320850399844
ED19_10_09	35916	27199	27117	27158	26563	26508	23986	0.207054926024924	9.51410894824204	66.7836061922263
ED19_10_10	34584	24683	24610	24612	23630	23615	20472	0.0634786288616169	13.3093372856235	59.1950034698126
ED19_10_11	38380	19709	19581	19596	15209	15157	11849	0.341902820698266	21.8248993864221	30.872850442939
ED19_10_12	46486	35126	35020	35009	33108	32588	26333	1.57061737344448	19.1941819074506	56.6471625865852
ED19_19A_01	41490	29912	29348	29834	20620	20519	15988	0.489815712900096	22.0819728056923	38.5345866473849
ED19_27B_03	35005	27545	27448	27524	27078	27070	27030	0.0295442794888743	0.147765053564825	77.2175403513784
ED19_35_01	35948	28021	27937	27984	27509	27474	27466	0.127231088007562	0.029118439251647	76.4048069433626
ED2_28_03	45120	28992	28683	28843	17002	16797	12143	1.20574050111752	27.707328689647	26.9126773049645
ED20_10_10	43344	31507	31491	31042	30411	30406	27262	0.0164414192233124	10.3400644609617	62.8968253968254
ED20_10_14	39553	31281	31267	31267	30899	30891	30546	0.0258908055276805	1.11683014470233	77.2280231587996
ED20_16A_02	36380	25099	25068	25064	24088	24055	20658	0.136997675190969	14.1218041987113	56.7839472237493
ED21_06_01	40816	25712	25028	25537	22026	21977	21575	0.222464360301473	1.82918505710515	52.859172873383
ED21_10_01	43707	33636	33596	33585	33035	33035	29930	0	9.39912214318147	68.4787333836685
ED21_15A_01	47694	32957	32939	32928	31063	30984	29817	0.254321862022351	3.76646010844307	62.5172977733048
ED21_15A_02	41985	29164	29105	29109	27842	27781	26208	0.21909345592988	5.6621431913898	62.422293676313
ED21_15A_03	45976	33516	33498	33437	32595	32486	31147	0.33440711765607	4.12177553407622	67.7462154167392
ED21_33_01	41029	32366	32332	32338	32053	31974	31912	0.246466789380079	0.193907549884273	77.7791318335811
ED22_05_01	42204	25385	25246	25271	22229	22156	21628	0.328399838049393	2.38310164289582	51.2463273623353
ED22_25A_01	45245	31481	31451	31418	30336	30199	29011	0.451608649789023	3.93390509619523	64.1197922422367
ED22_35_01	47238	32933	32903	32898	29670	29530	29231	0.471857094708454	1.01252963088385	61.8802658876328
ED23_15A_01	42329	28389	28353	28325	26352	26285	25522	0.25425015179114	2.90279627163783	60.294360840086
ED24_04_01	37132	26445	26013	26251	23930	23371	17779	2.33597994149602	23.9270891275512	47.8805343100291
ED24_05_01	42429	32306	32256	31739	31171	31022	24047	0.47800840524846	22.4840435819741	56.6758584930119
