reads.in	reads.out	percentage_retained
ED17_28_01_S160_R1_001.fastq.gz	50008	21139	42.2712366021437
ED19_10_08_S158_R1_001.fastq.gz	60668	39359	64.8760466802927
ED19_11_03_S155_R1_001.fastq.gz	52296	33189	63.4637448370812
ED19_33_01_S147_R1_001.fastq.gz	49016	30643	62.5163212012404
ED2_16_01_S182_R1_001.fastq.gz	56474	32288	57.1732124517477
ED20_10_15_S157_R1_001.fastq.gz	46967	25267	53.7973470734771
ED20_33_06_S149_R1_001.fastq.gz	60511	37817	62.4960750937846
ED20_33_07_S316_R1_001.fastq.gz	47899	28668	59.8509363452264
ED20_33_08_S333_R1_001.fastq.gz	48271	28834	59.733587454165
ED20_35_01_S161_R1_001.fastq.gz	71309	45792	64.2162980829909
ED21_05_02_S187_R1_001.fastq.gz	28387	14730	51.8899496248283
ED21_07_01_S172_R1_001.fastq.gz	40601	23071	56.8237235536071
ED21_09_01_S361_R1_001.fastq.gz	29426	19529	66.3664786243458
ED21_28A_01_S270_R1_001.fastq.gz	41327	26544	64.2291964091272
ED22_12_02_S350_R1_001.fastq.gz	43657	29951	68.6052637606798
ED5_10_06_S71_R1_001.fastq.gz	49545	28663	57.8524573619941
ED6_01_01_S167_R1_001.fastq.gz	65409	39844	60.9151645797979
ED6_02_02_S368_R1_001.fastq.gz	44335	26674	60.1646554640803
ED6_09_02_S70_R1_001.fastq.gz	45502	30446	66.9113445562832
ED6_10_01_S104_R1_001.fastq.gz	45732	32607	71.3001836788245
ED6_13_10_S234_R1_001.fastq.gz	48211	34115	70.7618593267097
ED6_13_14_S235_R1_001.fastq.gz	41895	29052	69.3447905477981
ED6_13_17_S98_R1_001.fastq.gz	57966	39576	68.2745057447469
ED6_13_24_S118_R1_001.fastq.gz	40039	29773	74.3599990009741
ED6_15_01_S200_R1_001.fastq.gz	45048	17037	37.8196590303676
ED6_19A_03_S309_R1_001.fastq.gz	48695	32065	65.8486497587021
ED6_22A_02_S186_R1_001.fastq.gz	54166	38725	71.4931876084629
ED6_22A_03_S111_R1_001.fastq.gz	58700	37957	64.6626916524702
ED6_22A_05_S301_R1_001.fastq.gz	35972	24403	67.8388746803069
ED6_28A_03_S261_R1_001.fastq.gz	39941	26043	65.2036754212463
ED6_28A_08_S272_R1_001.fastq.gz	41231	12993	31.5126967572943
ED6_31_07_S372_R1_001.fastq.gz	47025	16097	34.2307283359915
ED7_01_05_S280_R1_001.fastq.gz	53439	21549	40.3244821198001
ED7_06_04_S77_R1_001.fastq.gz	42202	24063	57.0186247097294
ED7_13_04_S53_R1_001.fastq.gz	44844	26521	59.1405762197841
ED7_13_07_S162_R1_001.fastq.gz	58717	40274	68.5900165199176
ED7_24A_01_S192_R1_001.fastq.gz	54681	37216	68.0602037270716
ED7_27A_02_S199_R1_001.fastq.gz	45063	30951	68.6838426203315
ED7_29_01_S236_R1_001.fastq.gz	58395	31896	54.6211148214744
ED7_31_02_S246_R1_001.fastq.gz	43038	27940	64.9193735768391
ED7_32_04_S252_R1_001.fastq.gz	46591	33680	72.2886394368011
ED8_01_04_S225_R1_001.fastq.gz	46277	32923	71.1433325410031
ED8_13_06_S178_R1_001.fastq.gz	66367	42630	64.233730619133
ED8_17_02_S122_R1_001.fastq.gz	54246	38809	71.5426022195185
ED8_19A_11_S62_R1_001.fastq.gz	47517	32530	68.4597091567229
ED8_22B_01_S96_R1_001.fastq.gz	46271	22363	48.3304877785222
ED8_22B_02_S347_R1_001.fastq.gz	46853	30809	65.7567284912386
ED8_26A_01_S379_R1_001.fastq.gz	52816	29861	56.5377915783096
